run_id,vars,clauses,reps,seed,split_var,fixed,force_unsat,simulate_ms,repetition,worker_rank,split_value,worker_sat,worker_compute_sec,nodes_visited,clause_checks,max_rss_kb,rep_global_sat
20260311_144057,50,250,20,7,1,0,0,0,0,1,0,0,19.5,11086725,2042107614,11332,0
20260311_144057,50,250,20,7,1,0,0,0,1,1,0,0,5.70361,2781981,498388010,11332,0
20260311_144057,50,250,20,7,1,0,0,0,2,1,0,0,16.8682,8752069,1698218773,11332,0
20260311_144057,50,250,20,7,1,0,0,0,3,1,0,0,19.3896,10483273,1907991572,11332,0
20260311_144057,50,250,20,7,1,0,0,0,4,1,0,0,8.68664,4122479,769339101,11332,0
20260311_144057,50,250,20,7,1,0,0,0,5,1,0,0,30.4016,18559525,3195221412,11332,0
20260311_144057,50,250,20,7,1,0,0,0,6,1,0,0,14.1554,8939997,1618510703,11332,0
20260311_144057,50,250,20,7,1,0,0,0,7,1,0,0,5.27324,2994131,552176923,11332,0
20260311_144057,50,250,20,7,1,0,0,0,8,1,0,0,46.3353,25203499,4813450010,11332,0
20260311_144057,50,250,20,7,1,0,0,0,9,1,0,0,8.67844,5088633,930183596,11332,0
20260311_144057,50,250,20,7,1,0,0,0,10,1,0,0,8.46935,4014475,726779655,11332,0
20260311_144057,50,250,20,7,1,0,0,0,11,1,0,0,18.051,10477135,1818846151,11332,0
20260311_144057,50,250,20,7,1,0,0,0,12,1,0,0,28.0693,13833747,2523769082,11332,0
20260311_144057,50,250,20,7,1,0,0,0,13,1,0,1,2.58201,1462719,254740314,11332,1
20260311_144057,50,250,20,7,1,0,0,0,14,1,0,0,15.2805,9525677,1705003105,11332,0
20260311_144057,50,250,20,7,1,0,0,0,15,1,0,0,83.2119,43715213,8282434636,11332,0
20260311_144057,50,250,20,7,1,0,0,0,16,1,0,0,1.20644,643347,116889960,11332,0
20260311_144057,50,250,20,7,1,0,0,0,17,1,0,0,32.5192,17388149,3186460626,11332,0
20260311_144057,50,250,20,7,1,0,0,0,18,1,0,0,33.6706,17917355,3185701908,11332,0
20260311_144057,50,250,20,7,1,0,0,0,19,1,0,0,36.0694,20396095,3777186150,11332,0
